발행회차,발행일자,기준월,초기대출건수,초기대출잔액,전월대출잔액,만기전상환금액,당월총상환금액,만기전상환율,기준월대출잔액,기준월대출잔액비율,이자상환금액
MBS 2004-07,2004-12-28,Dec-04,5803,405371708.2,405371708,1386321,1570366,0.34,403801342,0.1,0
MBS 2004-06,2004-11-30,Dec-04,4546,309948589.3,308832809,1483260,1972518,0.48,306860291,0.1,0
MBS 2004-06,2004-11-30,Nov-04,4546,309948589.3,309948589,1031391,1115780,0.33,308832809,0.1,0
MBS 2004-05,2004-10-28,Dec-04,5209,353490759.5,350352116,3013229,4106153,0.86,346245963,0.1,0
MBS 2004-05,2004-10-28,Nov-04,5209,353490759.5,352522056,221600,2169940,0.06,350352116,0.1,0
MBS 2004-05,2004-10-28,Oct-04,5209,353490759.5,353490760,60000,968704,0.02,352522056,0.1,0
MBS 2004-04,2004-09-23,Dec-04,5708,391296864,383730539,3055698,4355331,0.8,379375208,0.1,0
MBS 2004-04,2004-09-23,Nov-04,5708,391296864,386049028,144252,2318489,0.04,383730539,0.1,0
MBS 2004-04,2004-09-23,Oct-04,5708,391296864,389496097,2882958,3447069,0.74,386049028,0.1,0
MBS 2004-04,2004-09-23,Sep-04,5708,391296864,391296864,1495463,1916517,0.38,389380347,0.1,0
MBS 2004-03,2004-08-18,Dec-04,7631,550507402.8,535208583,4649630,6186848,0.87,529021735,0.1,0
MBS 2004-03,2004-08-18,Nov-04,7631,550507402.8,539811555,3384654,4602972,0.63,535208583,0.1,0
MBS 2004-03,2004-08-18,Oct-04,7631,550507402.8,544115845,3031230,4304290,0.56,539811555,0.1,0
MBS 2004-03,2004-08-18,Sep-04,7631,550507402.8,548578127,2408562,4462282,0.44,544115845,0.1,0
MBS 2004-03,2004-08-18,Aug-04,7631,550507402.8,550507403,0,1929276,0,548578127,0.1,0
MBS 2004-02,2004-07-28,Dec-04,6400,401909561.2,391051254,2503010,3055669,0.64,387995585,0.1,0
MBS 2004-02,2004-07-28,Nov-04,6400,401909561.2,393267794,1911373,2216540,0.49,391051254,0.1,0
MBS 2004-02,2004-07-28,Oct-04,6400,401909561.2,396874887,3169681,3607093,0.8,393267794,0.1,0
MBS 2004-02,2004-07-28,Sep-04,6400,401909561.2,398941530,1633239,2066643,0.41,396874887,0.1,0
MBS 2004-02,2004-07-28,Aug-04,6400,401909561.2,400912080,1562897,1970550,0.39,398941530,0.1,0
MBS 2004-02,2004-07-28,Jul-04,6400,401909561.2,401908561,740148,996481,0.18,400912080,0.1,0
MBS 2004-01,2004-06-15,Dec-04,7515,545645546.2,525185916,3682047,4975155,0.7,520210761,0.1,0
MBS 2004-01,2004-06-15,Nov-04,7515,545645546.2,529633440,3169074,4447524,0.6,525185916,0.1,0
MBS 2004-01,2004-06-15,Oct-04,7515,545645546.2,533496972,2218632,3863532,0.42,529633440,0.1,0
MBS 2004-01,2004-06-15,Sep-04,7515,545645546.2,535780476,1536187,2283504,0.29,533496972,0.1,0
MBS 2004-01,2004-06-15,Aug-04,7515,545645546.2,539071836,2260216,3291360,0.42,535780476,0.1,0
MBS 2004-01,2004-06-15,Jul-04,7515,545645546.2,542008681,1959703,2936845,0.36,539071836,0.1,0
MBS 2004-01,2004-06-15,Jun-04,7515,545645546.2,545645546,2807339,3636865,0.51,542008681,0.1,0
