"계정항목별",2022.01,2022.02,2022.03,2022.04,2022.05,2022.06,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"총대출 1)",3.12,3.20,3.28,3.36,3.45,3.57,6.35,6.36,6.60,7.16,7.50,5.86,5.70,6.01,5.31,4.72,4.21,3.54,3.35,3.48,3.71,3.40,2.80,3.04
"기업대출 2)",3.15,3.23,3.30,3.38,3.48,3.62,6.37,6.40,6.66,7.22,7.69,6.24,6.02,6.20,5.43,4.87,4.37,3.70,3.53,3.62,3.81,3.46,2.83,3.07
"대기업대출",2.94,3.00,3.08,3.16,3.26,3.41,6.01,5.80,6.07,6.57,7.08,5.72,5.57,5.80,5.16,4.73,4.24,3.58,3.33,3.34,3.51,3.21,2.70,2.89
"중소기업대출",3.19,3.27,3.35,3.43,3.52,3.66,6.43,6.49,6.73,7.31,7.81,6.33,6.12,6.31,5.52,4.91,4.41,3.74,3.58,3.68,3.88,3.51,2.86,3.11
"운전자금대출",3.35,3.43,3.50,3.59,3.70,3.85,6.38,6.41,6.69,7.29,7.79,6.37,6.14,6.34,5.56,5.00,4.52,3.91,3.78,3.88,4.06,3.68,3.00,3.27
"시설자금대출",2.97,3.05,3.12,3.19,3.28,3.41,6.32,6.30,6.51,6.92,7.36,5.85,5.70,5.87,5.17,4.61,4.11,3.40,3.21,3.32,3.55,3.22,2.67,2.89
"가계대출 2)",3.09,3.18,3.25,3.33,3.42,3.52,6.33,6.33,6.56,7.13,7.31,5.43,5.35,5.82,5.17,4.54,4.02,3.35,3.18,3.35,3.62,3.34,2.77,3.01
"소액대출 (500만원 이하)",4.85,4.92,4.98,5.06,5.15,5.27,9.11,8.31,8.23,8.71,8.81,8.06,8.05,8.20,7.55,6.87,6.08,5.30,5.02,5.01,5.15,4.89,4.40,4.78
"주택담보대출",2.82,2.88,2.93,2.98,3.03,3.10,-,-,-,-,-,4.85,4.71,5.20,4.60,4.04,3.63,3.08,2.93,3.05,3.25,3.03,2.67,2.77
"예·적금담보대출",2.49,2.55,2.61,2.68,2.77,2.85,-,-,-,-,-,5.61,5.46,5.48,5.06,4.44,3.96,3.29,3.00,3.01,3.25,3.05,2.42,2.44
"보증대출",2.89,3.01,3.11,3.20,3.30,3.40,-,-,-,-,-,5.11,5.39,5.83,5.13,4.34,3.75,2.97,2.82,3.23,3.71,3.37,2.59,2.79
"일반신용대출 3)",3.89,4.00,4.11,4.22,4.34,4.52,-,-,-,-,-,7.59,7.48,7.93,7.12,6.33,5.55,4.64,4.37,4.30,4.46,4.01,3.20,3.77
"집단대출 3)",3.39,3.57,3.69,3.74,3.76,3.87,-,-,-,-,-,4.52,4.84,5.66,4.77,4.08,3.56,2.94,2.90,3.31,3.70,3.45,2.66,3.15
"공공및기타부문대출",2.99,3.07,3.14,3.21,3.27,3.40,5.64,5.64,5.89,6.30,6.69,5.15,5.19,5.42,4.97,4.54,4.07,3.19,2.99,3.15,3.46,3.25,2.62,2.90
"당좌대출 4)",3.50,3.12,3.51,3.69,3.79,3.87,8.37,8.06,7.96,8.67,8.47,7.39,6.97,6.74,5.92,5.31,4.66,3.96,3.57,3.65,3.61,3.27,2.72,3.04
"총대출(당좌대출 제외)",3.12,3.20,3.28,3.36,3.45,3.57,6.34,6.35,6.59,7.16,7.50,5.85,5.70,6.01,5.31,4.72,4.21,3.54,3.35,3.48,3.71,3.40,2.80,3.04
